x,y,x_mm,y_mm
134,873,11.345333333333333,73.914
108,507,9.143999999999998,42.925999999999995
136,245,11.514666666666665,20.743333333333332
177,742,14.985999999999999,62.822666666666656
134,938,11.345333333333333,79.41733333333332
132,905,11.176,76.62333333333332
169,1053,14.308666666666666,89.154
140,185,11.853333333333333,15.663333333333334
267,240,22.605999999999998,20.32
183,905,15.493999999999998,76.62333333333332
181,873,15.324666666666667,73.914
142,976,12.022666666666666,82.63466666666666
280,44,23.706666666666667,3.725333333333333
148,393,12.530666666666667,33.274
167,736,14.139333333333331,62.31466666666666
92,480,7.7893333333333326,40.64
174,93,14.731999999999998,7.874
183,71,15.493999999999998,6.011333333333333
184,409,15.578666666666665,34.62866666666666
267,769,22.605999999999998,65.10866666666666
239,720,20.23533333333333,60.959999999999994
214,709,18.118666666666666,60.02866666666666
234,884,19.812,74.84533333333333
224,862,18.965333333333334,72.98266666666667
186,916,15.748,77.55466666666666
219,900,18.541999999999998,76.19999999999999
189,867,16.002,73.406
216,338,18.287999999999997,28.61733333333333
172,922,14.562666666666667,78.06266666666666
178,742,15.070666666666668,62.822666666666656
184,769,15.578666666666665,65.10866666666666
281,529,23.79133333333333,44.788666666666664
168,518,14.224,43.85733333333333
177,589,14.985999999999999,49.86866666666666
186,709,15.748,60.02866666666666
301,44,25.484666666666666,3.725333333333333
243,736,20.574,62.31466666666666
225,758,19.049999999999997,64.17733333333334
235,894,19.896666666666665,75.692
247,300,20.912666666666667,25.4
24,54,2.032,4.571999999999999
174,758,14.731999999999998,64.17733333333334
174,753,14.731999999999998,63.75399999999999
196,682,16.594666666666665,57.742666666666665
183,927,15.493999999999998,78.48599999999999
188,867,15.917333333333334,73.406
188,49,15.917333333333334,4.148666666666666
261,207,22.098,17.525999999999996
187,49,15.832666666666665,4.148666666666666
130,534,11.006666666666666,45.211999999999996
114,873,9.652,73.914
173,900,14.647333333333332,76.19999999999999
140,709,11.853333333333333,60.02866666666666
112,851,9.482666666666667,72.05133333333332
123,660,10.413999999999998,55.88
161,774,13.631333333333332,65.532
186,916,15.748,77.55466666666666
189,894,16.002,75.692
184,851,15.578666666666665,72.05133333333332
215,1025,18.203333333333333,86.78333333333333
165,938,13.97,79.41733333333332
83,894,7.027333333333333,75.692
93,682,7.874,57.742666666666665
177,714,14.985999999999999,60.45199999999999
179,758,15.155333333333333,64.17733333333334
174,513,14.731999999999998,43.434
145,764,12.276666666666666,64.68533333333333
186,1102,15.748,93.30266666666667
168,873,14.224,73.914
188,71,15.917333333333334,6.011333333333333
177,720,14.985999999999999,60.959999999999994
76,742,6.434666666666667,62.822666666666656
95,736,8.043333333333333,62.31466666666666
177,567,14.985999999999999,48.00599999999999
163,889,13.800666666666666,75.26866666666666
172,764,14.562666666666667,64.68533333333333
154,900,13.038666666666666,76.19999999999999
202,556,17.102666666666664,47.074666666666666
165,682,13.97,57.742666666666665
172,698,14.562666666666667,59.09733333333333
187,714,15.832666666666665,60.45199999999999
231,218,19.558,18.457333333333334
177,27,14.985999999999999,2.2859999999999996
154,485,13.038666666666666,41.06333333333333
272,1134,23.02933333333333,96.01199999999999
118,742,9.990666666666666,62.822666666666656
228,398,19.304,33.69733333333333
197,567,16.679333333333332,48.00599999999999
266,502,22.521333333333335,42.50266666666666
184,573,15.578666666666665,48.513999999999996
244,502,20.658666666666665,42.50266666666666
182,540,15.409333333333333,45.72
173,687,14.647333333333332,58.166
197,709,16.679333333333332,60.02866666666666
250,862,21.166666666666668,72.98266666666667
103,518,8.720666666666666,43.85733333333333
184,764,15.578666666666665,64.68533333333333
127,513,10.752666666666666,43.434
225,671,19.049999999999997,56.81133333333333
140,518,11.853333333333333,43.85733333333333
243,120,20.574,10.16
276,120,23.368,10.16
178,944,15.070666666666668,79.92533333333333
212,911,17.949333333333332,77.13133333333333
228,1113,19.304,94.234
278,180,23.537333333333333,15.239999999999998
214,218,18.118666666666666,18.457333333333334
240,142,20.32,12.022666666666666
177,534,14.985999999999999,45.211999999999996
168,589,14.224,49.86866666666666
182,769,15.409333333333333,65.10866666666666
174,725,14.731999999999998,61.383333333333326
189,1118,16.002,94.65733333333333
175,911,14.816666666666666,77.13133333333333
191,725,16.171333333333333,61.383333333333326
182,911,15.409333333333333,77.13133333333333
170,720,14.393333333333333,60.959999999999994
179,747,15.155333333333333,63.246
114,731,9.652,61.89133333333333
172,873,14.562666666666667,73.914
144,693,12.191999999999998,58.674
181,573,15.324666666666667,48.513999999999996
175,884,14.816666666666666,74.84533333333333
188,900,15.917333333333334,76.19999999999999
148,534,12.530666666666667,45.211999999999996
70,496,5.926666666666667,41.99466666666667
177,873,14.985999999999999,73.914
136,905,11.514666666666665,76.62333333333332
170,1107,14.393333333333333,93.726
109,333,9.228666666666667,28.194000000000003
140,900,11.853333333333333,76.19999999999999
136,714,11.514666666666665,60.45199999999999
179,654,15.155333333333333,55.372
136,742,11.514666666666665,62.822666666666656
140,496,11.853333333333333,41.99466666666667
174,704,14.731999999999998,59.60533333333333
130,491,11.006666666666666,41.571333333333335
116,654,9.821333333333332,55.372
179,753,15.155333333333333,63.75399999999999
123,753,10.413999999999998,63.75399999999999
175,605,14.816666666666666,51.22333333333333
130,491,11.006666666666666,41.571333333333335
168,758,14.224,64.17733333333334
182,540,15.409333333333333,45.72
181,382,15.324666666666667,32.342666666666666
183,529,15.493999999999998,44.788666666666664
187,376,15.832666666666665,31.834666666666667
179,584,15.155333333333333,49.44533333333333
193,753,16.340666666666664,63.75399999999999
201,889,17.018,75.26866666666666
191,905,16.171333333333333,76.62333333333332
75,49,6.35,4.148666666666666
228,605,19.304,51.22333333333333
169,578,14.308666666666666,48.937333333333335
108,556,9.143999999999998,47.074666666666666
92,365,7.7893333333333326,30.90333333333333
181,649,15.324666666666667,54.94866666666667
89,524,7.535333333333334,44.36533333333333
181,698,15.324666666666667,59.09733333333333
261,371,22.098,31.411333333333328
195,714,16.509999999999998,60.45199999999999
130,922,11.006666666666666,78.06266666666666
154,867,13.038666666666666,73.406
177,590,14.985999999999999,49.953333333333326
177,590,14.985999999999999,49.953333333333326
156,376,13.208,31.834666666666667
200,573,16.93333333333333,48.513999999999996
183,491,15.493999999999998,41.571333333333335
132,349,11.176,29.548666666666666
164,534,13.885333333333332,45.211999999999996
100,496,8.466666666666665,41.99466666666667
230,584,19.473333333333333,49.44533333333333
173,605,14.647333333333332,51.22333333333333
137,513,11.599333333333332,43.434
132,698,11.176,59.09733333333333
103,360,8.720666666666666,30.479999999999997
159,594,13.462,50.291999999999994
37,360,3.1326666666666667,30.479999999999997
136,551,11.514666666666665,46.65133333333333
237,693,20.066,58.674
90,518,7.619999999999999,43.85733333333333
177,590,14.985999999999999,49.953333333333326
-4,-4,-0.33866666666666667,-0.33866666666666667
-4,-4,-0.33866666666666667,-0.33866666666666667
-4,-4,-0.33866666666666667,-0.33866666666666667
-4,-4,-0.33866666666666667,-0.33866666666666667
-4,-4,-0.33866666666666667,-0.33866666666666667
-4,-4,-0.33866666666666667,-0.33866666666666667
-4,-4,-0.33866666666666667,-0.33866666666666667
175,791,14.816666666666666,66.97133333333333
34,93,2.8786666666666663,7.874
212,889,17.949333333333332,75.26866666666666
150,742,12.7,62.822666666666656
178,725,15.070666666666668,61.383333333333326
64,398,5.418666666666667,33.69733333333333
187,742,15.832666666666665,62.822666666666656
184,27,15.578666666666665,2.2859999999999996
177,218,14.985999999999999,18.457333333333334
128,524,10.837333333333333,44.36533333333333
141,44,11.937999999999999,3.725333333333333
112,213,9.482666666666667,18.034
75,704,6.35,59.60533333333333
108,709,9.143999999999998,60.02866666666666
140,747,11.853333333333333,63.246
121,834,10.244666666666665,70.612
173,900,14.647333333333332,76.19999999999999
179,540,15.155333333333333,45.72
